"","ID","ALIGN","CORRECT","TARGET","ROUND","freq1","freq2","rating","align_code","condition"
"287",140,"bath","CORRECT","bathtub","1",5,25,67,0,"C1"
"288",140,"hen","CORRECT","hen","1",5,43,62,1,"C1"
"289",140,"peach","CORRECT","nectarine","1",5,15,61,0,"C1"
"290",140,"coach","CORRECT","coach","1",0,30,60,1,"C1"
"291",140,"hat","CORRECT","hat","1",28,52,61,1,"C1"
"292",140,"ball","CORRECT","inflatable ball","1",1,26,65,0,"C1"
"293",140,"biro","CORRECT","biro","1",3,34,53,1,"C1"
"294",140,"gun","CORRECT","pistol","1",0,48,64,0,"C1"
"295",140,"loo","CORRECT","loo","2",5,63,64,1,"C1"
"296",140,"picture","CORRECT","picture","2",22,43,56,1,"C1"
"297",140,"musical instrument","CORRECT","musical instrument","2",0,18,55,1,"C1"
"298",140,"flower","CORRECT","flower","2",1,91,60,1,"C1"
"299",140,"pillow","CORRECT","pillow","2",12,72,53,1,"C1"
"300",140,"plane","CORRECT","aeroplane","2",20,45,68,0,"C1"
"301",140,"toad","CORRECT","toad","2",8,60,67,1,"C1"
"302",140,"mobile","CORRECT","mobile","2",13,48,64,1,"C1"
"303",140,"make up","CORRECT","make up","2",0,33,56,1,"C1"
"304",140,"fridge","CORRECT","refrigerator","2",2,48,65,0,"C1"
"305",140,"mouse","CORRECT","rodent","2",0,65,63,0,"C1"
"306",140,"memory stick","CORRECT","memory stick","2",11,29,68,1,"C1"
"307",140,"silverware","CORRECT","silverware","2",3,10,57,1,"C1"
"308",140,"bicycle","CORRECT","bicycle","2",10,67,68,1,"C1"
"309",141,"rowboat","CORRECT","rowboat","1",3,23,57,1,"C1"
"310",141,"cigarette","CORRECT","fag","1",10,53,60,0,"C1"
"311",141,"computer","CORRECT","computer","1",8,83,56,1,"C1"
"312",141,"bunny","CORRECT","bunny","1",15,63,64,1,"C1"
"313",141,"glasses","CORRECT","spectacles","1",4,45,60,0,"C1"
"314",141,"brolly","CORRECT","brolly","1",12,45,63,1,"C1"
"315",141,"bathtub","CORRECT","bathtub","1",5,25,67,1,"C1"
"316",141,"chicken","CORRECT","hen","1",5,43,62,0,"C1"
"317",141,"nectarine","CORRECT","nectarine","1",5,15,61,1,"C1"
"318",141,"school bus","CORRECT","coach","1",0,30,60,0,"C1"
"319",141,"cap","CORRECT","hat","1",28,52,61,0,"C1"
"320",141,"ball","CORRECT","inflatable ball","1",1,26,65,0,"C1"
"321",141,"pen","CORRECT","biro","1",3,34,53,0,"C1"
"322",141,"gun","CORRECT","pistol","1",0,48,64,0,"C1"
"323",141,"toilet","CORRECT","loo","2",5,63,64,0,"C1"
"324",141,"painting","CORRECT","picture","2",22,43,56,0,"C1"
"325",141,"accordion","CORRECT","musical instrument","2",0,18,55,0,"C1"
"326",141,"rose","CORRECT","flower","2",1,91,60,0,"C1"
"327",141,"cushion","CORRECT","pillow","2",12,72,53,0,"C1"
"328",141,"aeroplane","CORRECT","aeroplane","2",20,45,68,1,"C1"
"329",141,"toad","CORRECT","toad","2",8,60,67,1,"C1"
"330",141,"mobile","CORRECT","mobile","2",13,48,64,1,"C1"
"331",141,"lipstick","CORRECT","make up","2",0,33,56,0,"C1"
"332",141,"fridge","CORRECT","refrigerator","2",2,48,65,0,"C1"
"333",141,"mouse","CORRECT","rodent","2",0,65,63,0,"C1"
"334",141,"usb stick","CORRECT","memory stick","2",11,29,68,0,"C1"
"335",141,"cutlery","CORRECT","silverware","2",3,10,57,0,"C1"
"336",141,"bicycle","CORRECT","bicycle","2",10,67,68,1,"C1"
"337",142,"boat","CORRECT","rowboat","1",3,23,57,0,"C1"
"338",142,"cigarette","CORRECT","fag","1",10,53,60,0,"C1"
"339",142,"laptop","CORRECT","computer","1",8,83,56,0,"C1"
"340",142,"rabbit","CORRECT","bunny","1",15,63,64,0,"C1"
"341",142,"glasses","CORRECT","spectacles","1",4,45,60,0,"C1"
"342",142,"umberella-ella","CORRECT","brolly","1",12,45,63,0,"C1"
"343",142,"tub","CORRECT","bathtub","1",5,25,67,0,"C1"
"344",142,"cock","CORRECT","hen","1",5,43,62,0,"C1"
"345",142,"peachy","CORRECT","nectarine","1",5,15,61,0,"C1"
"346",142,"skool bus","CORRECT","coach","1",0,30,60,0,"C1"
"347",142,"cap","CORRECT","hat","1",28,52,61,0,"C1"
"348",142,"beach ball","CORRECT","inflatable ball","1",1,26,65,0,"C1"
"349",142,"pen","CORRECT","biro","1",3,34,53,0,"C1"
"350",142,"gun","CORRECT","pistol","1",0,48,64,0,"C1"
"351",142,"toilet","CORRECT","loo","2",5,63,64,0,"C1"
"352",142,"art","CORRECT","picture","2",22,43,56,0,"C1"
"353",142,"musical instrument","CORRECT","musical instrument","2",0,18,55,1,"C1"
"354",142,"rose","CORRECT","flower","2",1,91,60,0,"C1"
"355",142,"pillow","CORRECT","pillow","2",12,72,53,1,"C1"
"356",142,"plane","CORRECT","aeroplane","2",20,45,68,0,"C1"
"357",142,"frog","CORRECT","toad","2",8,60,67,0,"C1"
"358",142,"phone","CORRECT","mobile","2",13,48,64,0,"C1"
"359",142,"lipstick","CORRECT","make up","2",0,33,56,0,"C1"
"360",142,"fridge","CORRECT","refrigerator","2",2,48,65,0,"C1"
"361",142,"mouse","CORRECT","rodent","2",0,65,63,0,"C1"
"362",142,"usb drive","CORRECT","memory stick","2",11,29,68,0,"C1"
"363",142,"cutlery","CORRECT","silverware","2",3,10,57,0,"C1"
"364",142,"bike","CORRECT","bicycle","2",10,67,68,0,"C1"
"365",143,"rowboat","CORRECT","rowboat","1",3,23,57,1,"C1"
"366",143,"cigarette","CORRECT","fag","1",10,53,60,0,"C1"
"367",143,"laptop","CORRECT","computer","1",8,83,56,0,"C1"
"368",143,"rabbit","CORRECT","bunny","1",15,63,64,0,"C1"
"369",143,"glasses","CORRECT","spectacles","1",4,45,60,0,"C1"
"370",143,"umbrella","CORRECT","brolly","1",12,45,63,0,"C1"
"371",143,"bath","CORRECT","bathtub","1",5,25,67,0,"C1"
"372",143,"hen","CORRECT","hen","1",5,43,62,1,"C1"
"373",143,"nectarine","CORRECT","nectarine","1",5,15,61,1,"C1"
"374",143,"coach","CORRECT","coach","1",0,30,60,1,"C1"
"375",143,"hat","CORRECT","hat","1",28,52,61,1,"C1"
"376",143,"beach ball","CORRECT","inflatable ball","1",1,26,65,0,"C1"
"377",143,"pen","CORRECT","biro","1",3,34,53,0,"C1"
"378",143,"gun","CORRECT","pistol","1",0,48,64,0,"C1"
"379",143,"loo","CORRECT","loo","2",5,63,64,1,"C1"
"380",143,"painting","CORRECT","picture","2",22,43,56,0,"C1"
"381",143,"accordion","CORRECT","musical instrument","2",0,18,55,0,"C1"
"382",143,"rose","CORRECT","flower","2",1,91,60,0,"C1"
"383",143,"cushion","CORRECT","pillow","2",12,72,53,0,"C1"
"384",143,"plane","CORRECT","aeroplane","2",20,45,68,0,"C1"
